EQN fully unfold
Runner stopped: Some(TimeLimit(303.264091057)). Time take for runner: 303.265363842s, Classes: 2497, Nodes: 40508, Size: 42295


key112,value55.54550552368164
key220,value20.18907356262207
key118,value43.37579345703125
key154,value22.22455406188965
key141,value12.369627952575684
key65,value20.18907356262207
key57,value31.88900375366211
key81,value14.645577430725098
key98,value20.18907356262207
key7,value31.88900375366211
key156,value20.18907356262207
key52,value31.88900375366211
key89,value16.703824996948242
key82,value20.18907356262207
key161,value22.22455406188965
key226,value18.616146087646484
key51,value31.88900375366211
key94,value16.172332763671875
key131,value20.18907356262207
key88,value25.518123626708984
key95,value12.435091972351074
key171,value22.22455406188965
key104,value23.33341407775879
key148,value20.18907356262207
best_cost9.832405090332031
output node0
output class0
done
multiple output circuit
open7
multiple output circuit parse success
write7
open3
multiple output circuit parse success
write3
open13
multiple output circuit parse success
write13
open11
multiple output circuit parse success
write11
open2
multiple output circuit parse success
write2
open24
multiple output circuit parse success
write24
open23
multiple output circuit parse success
write23
open14
multiple output circuit parse success
write14
open0
multiple output circuit parse success
write0
open10
multiple output circuit parse success
write10
open9
multiple output circuit parse success
write9
open5
multiple output circuit parse success
write5
open1
multiple output circuit parse success
write1
open8
multiple output circuit parse success
write8
open29
multiple output circuit parse success
write29
open25
multiple output circuit parse success
write25
open6
multiple output circuit parse success
write6
open4
multiple output circuit parse success
write4
open20
multiple output circuit parse success
write20
open19
multiple output circuit parse success
write19
open12
multiple output circuit parse success
write12
open21
multiple output circuit parse success
write21
open16
multiple output circuit parse success
write16
open28
multiple output circuit parse success
write28
open15
multiple output circuit parse success
write15
open22
multiple output circuit parse success
write22
open26
multiple output circuit parse success
write26
open17
multiple output circuit parse success
write17
open18
multiple output circuit parse success
write18
open27
multiple output circuit parse success
write27
ABC command line: "read_eqn test_data_beta_runner/raw_circuit.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

[1;37mtest_data_beta_runner/raw_circuit:[0m i/o =    3/    2  lat =    0  and =     14 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.28
Library "asap7sc7p5t_22b_AO_RVT_SS_170906" from "asap7_clean.lib" has 155 cells (0 skipped: 0 seq; 0 tri-state; 0 no func; 0 dont_use).  Time =     0.84 sec
Warning: Detected 2 multi-output gates (for example, "FAx1_ASAP7_75t_R").
   0 Win:  1. PO:     1. Path:      3. Gate:    1. TFO:      9. A: 7.70 ( +0.0 %)  D: 38.42 ps ( -9.4 %)  B: 38.42 ps ( -9.4 %)    0.00 sec       1 Win:  1. PO:     1. Path:      3. Gate:    1. TFO:     10. A: 8.16 ( +6.1 %)  D: 36.64 ps (-13.6 %)  B: 36.64 ps (-13.6 %)    0.00 sec       2 Win:  1. PO:     1. Path:      3. Gate:    1. TFO:      9. A: 8.16 ( +6.1 %)  D: 36.19 ps (-14.6 %)  B: 36.19 ps (-14.6 %)    0.00 sec       3 Win:  2. PO:     1. Path:      5. Gate:    1. TFO:      9. A: 8.16 ( +6.1 %)  D: 36.19 ps (-14.6 %)  B: 36.19 ps (-14.6 %)    0.00 sec       4 Win: 16. PO:     1. Path:      5. Gate:    1. TFO:      6. A: 9.10 (+18.2 %)  D: 36.19 ps (-14.6 %)  B: 36.19 ps (-14.6 %)    0.00 sec       5 Win:  1. PO:     1. Path:      3. Gate:    1. TFO:      9. A: 9.80 (+27.3 %)  D: 31.88 ps (-24.8 %)  B: 31.88 ps (-24.8 %)    0.00 sec       6 Win: 32. PO:     1. Path:      6. Gate:    1. TFO:      9. A: 10.26 (+33.3 %)  D: 31.88 ps (-24.8 %)  B: 31.88 ps (-24.8 %)    0.00 sec                                                                                                                                                          0 : Try =     7  Over =     0  Fail =     7  Win =     0  A: 9.80 ( +0.0 %)  D: 31.88 ps ( +0.0 %)      0.00 sec        0 : Try =     7  Over =     0  Fail =     7  Win =     0  A: 9.80 ( +0.0 %)  D: 31.88 ps ( +0.0 %)      0.00 sec        0 : Try =     7  Over =     0  Fail =     7  Win =     0  A: 9.80 ( +0.0 %)  D: 31.88 ps ( +0.0 %)      0.00 sec        0 : Try =     7  Over =     0  Fail =     7  Win =     0  A: 9.80 ( +0.0 %)  D: 31.88 ps ( +0.0 %)      0.00 sec        0 : Try =     7  Over =     0  Fail =     7  Win =     0  A: 9.80 ( +0.0 %)  D: 31.88 ps ( +0.0 %)      0.00 sec                                                                                                                                                      WireLoad = "none"  [1;33mGates =      7[0m (  0.0 %)   [1;32mCap =  0.8 ff[0m ( 34.3 %)   [1;36mArea =        9.80[0m ( 28.6 %)   [1;35mDelay =    31.88 ps[0m  ( 42.9 %)               
ABC command line: "read_eqn test_data_beta_runner/optimized_circuit0.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

[1;37mtest_data_beta_runner/optimized_circuit0:[0m i/o =    3/    2  lat =    0  and =     22 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  17.20
ABC command line: "read_eqn test_data_beta_runner/optimized_circuit2.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

ABC command line: "read_eqn test_data_beta_runner/optimized_circuit1.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

[1;37mtest_data_beta_runner/optimized_circuit2:[0m i/o =    3/    2  lat =    0  and =     18 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  14.67
[1;37mtest_data_beta_runner/optimized_circuit1:[0m i/o =    3/    2  lat =    0  and =     14 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.28
ABC command line: "read_eqn test_data_beta_runner/optimized_circuit5.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

ABC command line: "read_eqn test_data_beta_runner/optimized_circuit3.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

ABC command line: "read_eqn test_data_beta_runner/optimized_circuit6.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

ABC command line: "read_eqn test_data_beta_runner/optimized_circuit4.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

[1;37mtest_data_beta_runner/optimized_circuit5:[0m i/o =    3/    2  lat =    0  and =     14 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.28
[1;37mtest_data_beta_runner/optimized_circuit3:[0m i/o =    3/    2  lat =    0  and =     18 (choice = 4)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  14.15
[1;37mtest_data_beta_runner/optimized_circuit6:[0m i/o =    3/    2  lat =    0  and =     14 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.28
[1;37mtest_data_beta_runner/optimized_circuit4:[0m i/o =    3/    2  lat =    0  and =     14 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.28
ABC command line: "read_eqn test_data_beta_runner/optimized_circuit7.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

ABC command line: "read_eqn test_data_beta_runner/optimized_circuit8.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

ABC command line: "read_eqn test_data_beta_runner/optimized_circuit9.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

[1;37mtest_data_beta_runner/optimized_circuit7:[0m i/o =    3/    2  lat =    0  and =     14 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.28
[1;37mtest_data_beta_runner/optimized_circuit8:[0m i/o =    3/    2  lat =    0  and =     14 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.28
[1;37mtest_data_beta_runner/optimized_circuit9:[0m i/o =    3/    2  lat =    0  and =     14 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.28
ABC command line: "read_eqn test_data_beta_runner/optimized_circuit10.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

ABC command line: "read_eqn test_data_beta_runner/optimized_circuit12.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

[1;37mtest_data_beta_runner/optimized_circuit10:[0m i/o =    3/    2  lat =    0  and =     14 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.28
ABC command line: "read_eqn test_data_beta_runner/optimized_circuit11.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

[1;37mtest_data_beta_runner/optimized_circuit12:[0m i/o =    3/    2  lat =    0  and =     14 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.28
[1;37mtest_data_beta_runner/optimized_circuit11:[0m i/o =    3/    2  lat =    0  and =     15 (choice = 4)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.76
ABC command line: "read_eqn test_data_beta_runner/optimized_circuit13.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

[1;37mtest_data_beta_runner/optimized_circuit13:[0m i/o =    3/    2  lat =    0  and =     18 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  14.67
ABC command line: "read_eqn test_data_beta_runner/optimized_circuit14.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

[1;37mtest_data_beta_runner/optimized_circuit14:[0m i/o =    3/    2  lat =    0  and =     15 (choice = 4)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.77
ABC command line: "read_eqn test_data_beta_runner/optimized_circuit15.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

ABC command line: "read_eqn test_data_beta_runner/optimized_circuit18.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

ABC command line: "read_eqn test_data_beta_runner/optimized_circuit16.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

ABC command line: "read_eqn test_data_beta_runner/optimized_circuit17.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

[1;37mtest_data_beta_runner/optimized_circuit15:[0m i/o =    3/    2  lat =    0  and =     25 (choice = 4)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  18.59
[1;37mtest_data_beta_runner/optimized_circuit18:[0m i/o =    3/    2  lat =    0  and =     14 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.28
[1;37mtest_data_beta_runner/optimized_circuit16:[0m i/o =    3/    2  lat =    0  and =     18 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  14.67
[1;37mtest_data_beta_runner/optimized_circuit17:[0m i/o =    3/    2  lat =    0  and =     23 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  17.01
ABC command line: "read_eqn test_data_beta_runner/optimized_circuit20.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

[1;37mtest_data_beta_runner/optimized_circuit20:[0m i/o =    3/    2  lat =    0  and =     17 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  14.21
ABC command line: "read_eqn test_data_beta_runner/optimized_circuit19.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

ABC command line: "read_eqn test_data_beta_runner/optimized_circuit21.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

[1;37mtest_data_beta_runner/optimized_circuit19:[0m i/o =    3/    2  lat =    0  and =     22 (choice = 4)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  17.20
ABC command line: "read_eqn test_data_beta_runner/optimized_circuit23.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

ABC command line: "read_eqn test_data_beta_runner/optimized_circuit22.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

[1;37mtest_data_beta_runner/optimized_circuit21:[0m i/o =    3/    2  lat =    0  and =     15 (choice = 4)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.76
[1;37mtest_data_beta_runner/optimized_circuit23:[0m i/o =    3/    2  lat =    0  and =     15 (choice = 4)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.76
[1;37mtest_data_beta_runner/optimized_circuit22:[0m i/o =    3/    2  lat =    0  and =     23 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  17.01
ABC command line: "read_eqn test_data_beta_runner/optimized_circuit25.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

ABC command line: "read_eqn test_data_beta_runner/optimized_circuit24.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

[1;37mtest_data_beta_runner/optimized_circuit25:[0m i/o =    3/    2  lat =    0  and =     17 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  14.21
[1;37mtest_data_beta_runner/optimized_circuit24:[0m i/o =    3/    2  lat =    0  and =     14 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.28
ABC command line: "read_eqn test_data_beta_runner/optimized_circuit26.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

ABC command line: "read_eqn test_data_beta_runner/optimized_circuit27.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

ABC command line: "read_eqn test_data_beta_runner/optimized_circuit28.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

[1;37mtest_data_beta_runner/optimized_circuit26:[0m i/o =    3/    2  lat =    0  and =     14 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.28
[1;37mtest_data_beta_runner/optimized_circuit27:[0m i/o =    3/    2  lat =    0  and =     25 (choice = 4)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  18.59
[1;37mtest_data_beta_runner/optimized_circuit28:[0m i/o =    3/    2  lat =    0  and =     24 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  16.97
ABC command line: "read_eqn test_data_beta_runner/optimized_circuit29.eqn; st; dch -f; print_stats -p; read_lib asap7_clean.lib ; map ; topo; upsize; dnsize; stime".

[1;37mtest_data_beta_runner/optimized_circuit29:[0m i/o =    3/    2  lat =    0  and =     14 (choice = 3)  lev =  4Warning: The choice nodes in the original AIG are removed by strashing.
  power =  12.28
Library "asap7sc7p5t_22b_AO_RVT_SS_170906" from "asap7_clean.lib" has 155 cells (0 skipped: 0 seq; 0 tri-state; 0 no func; 0 dont_use).  Time =     0.85 sec
Warning: Detected 2 multi-output gates (for example, "FAx1_ASAP7_75t_R").
   0 Win:  1. PO:     1. Path:      3. Gate:    1. TFO:      9. A: 7.70 ( +0.0 %)  D: 38.42 ps ( -9.4 %)  B: 38.42 ps ( -9.4 %)    0.00 sec       1 Win:  1. PO:     1. Path:      3. Gate:    1. TFO:     10. A: 8.16 ( +6.1 %)  D: 36.64 ps (-13.6 %)  B: 36.64 ps (-13.6 %)    0.00 sec       2 Win:  1. PO:     1. Path:      3. Gate:    1. TFO:      9. A: 8.16 ( +6.1 %)  D: 36.19 ps (-14.6 %)  B: 36.19 ps (-14.6 %)    0.00 sec       3 Win:  2. PO:     1. Path:      5. Gate:    1. TFO:      9. A: 8.16 ( +6.1 %)  D: 36.19 ps (-14.6 %)  B: 36.19 ps (-14.6 %)    0.00 sec       4 Win: 16. PO:     1. Path:      5. Gate:    1. TFO:      6. A: 9.10 (+18.2 %)  D: 36.19 ps (-14.6 %)  B: 36.19 ps (-14.6 %)    0.00 sec       5 Win:  1. PO:     1. Path:      3. Gate:    1. TFO:      9. A: 9.80 (+27.3 %)  D: 31.88 ps (-24.8 %)  B: 31.88 ps (-24.8 %)    0.00 sec       6 Win: 32. PO:     1. Path:      6. Gate:    1. TFO:      9. A: 10.26 (+33.3 %)  D: 31.88 ps (-24.8 %)  B: 31.88 ps (-24.8 %)    0.00 sec                                                                                                                                                          0 : Try =     7  Over =     0  Fail =     7  Win =     0  A: 9.80 ( +0.0 %)  D: 31.88 ps ( +0.0 %)      0.00 sec        0 : Try =     7  Over =     0  Fail =     7  Win =     0  A: 9.80 ( +0.0 %)  D: 31.88 ps ( +0.0 %)      0.00 sec        0 : Try =     7  Over =     0  Fail =     7  Win =     0  A: 9.80 ( +0.0 %)  D: 31.88 ps ( +0.0 %)      0.00 sec        0 : Try =     7  Over =     0  Fail =     7  Win =     0  A: 9.80 ( +0.0 %)  D: 31.88 ps ( +0.0 %)      0.00 sec        0 : Try =     7  Over =     0  Fail =     7  Win =     0  A: 9.80 ( +0.0 %)  D: 31.88 ps ( +0.0 %)      0.00 sec                                                                                                                                                      WireLoad = "none"  [1;33mGates =      7[0m (  0.0 %)   [1;32mCap =  0.8 ff[0m ( 34.3 %)   [1;36mArea =        9.80[0m ( 28.6 %)   [1;35mDelay =    31.88 ps[0m  ( 42.9 %)               
Library "asap7sc7p5t_22b_AO_RVT_SS_170906" from "asap7_clean.lib" has 155 cells (0 skipped: 0 seq; 0 tri-state; 0 no func; 0 dont_use).  Time =     0.85 sec
Warning: Detected 2 multi-output gates (for example, "FAx1_ASAP7_75t_R").
   0 Win:  1. PO:     1. Path:      3. Gate:    1. TFO:      9. A: 7.70 ( +0.0 %)  D: 38.42 ps ( -9.4 %)  B: 38.42 ps ( -9.4 %)    0.00 sec       1 Win:  1. PO:     1. Path:      3. Gate:    1. TFO:     10. A: 8.16 ( +6.1 %)  D: 36.64 ps (-13.6 %)  B: 36.64 ps (-13.6 %)    0.00 sec       2 Win:  1. PO:     1. Path:      3. Gate:    1. TFO:      9. A: 8.16 ( +6.1 %)  D: 36.19 ps (-14.6 %)  B: 36.19 ps (-14.6 %)    0.00 sec       3 Win:  2. PO:     1. Path:      5. Gate:    1. TFO:      9. A: 8.16 ( +6.1 %)  D: 36.19 ps (-14.6 %)  B: 36.19 ps (-14.6 %)    0.00 sec       4 Win: 16. PO:     1. Path:      5. Gate:    1. TFO:      6. A: 9.10 (+18.2 %)  D: 36.19 ps (-14.6 %)  B: 36.19 ps (-14.6 %)    0.00 sec       5 Win:  1. PO:     1. Path:      3. Gate:    1. TFO:      9. A: 9.80 (+27.3 %)  D: 31.88 ps (-24.8 %)  B: 31.88 ps (-24.8 %)    0.00 sec       6 Win: 32. PO:     1. Path:      6. Gate:    1. TFO:      9. A: 10.26 (+33.3 %)  D: 31.88 ps (-24.8 %)  B: 31.88 ps (-24.8 %)    0.00 sec                                                                                                                                                          0 : Try =     7  Over =     0  Fail =     7  Win =     0  A: 9.80 ( +0.0 %)  D: 31.88 ps ( +0.0 %)      0.00 sec        0 : Try =     7  Over =     0  Fail =     7  Win =     0  A: 9.80 ( +0.0 %)  D: 31.88 ps ( +0.0 %)      0.00 sec        0 : Try =     7  Over =     0  Fail =     7  Win =     0  A: 9.80 ( +0.0 %)  D: 31.88 ps ( +0.0 %)      0.00 sec        0 : Try =     7  Over =     0  Fail =     7  Win =     0  A: 9.80 ( +0.0 %)  D: 31.88 ps ( +0.0 %)      0.00 sec        0 : Try =     7  Over =     0  Fail =     7  Win =     0  A: 9.80 ( +0.0 %)  D: 31.88 ps ( +0.0 %)      0.00 sec                                                                                                                                                      WireLoad = "none"  [1;33mGates =      7[0m (  0.0 %)   [1;32mCap =  0.8 ff[0m ( 34.3 %)   [1;36mArea =        9.80[0m ( 28.6 %)   [1;35mDelay =    31.88 ps[0m  ( 42.9 %)               
Library "asap7sc7p5t_22b_AO_RVT_SS_170906" from "asap7_clean.lib" has 155 cells (0 skipped: 0 seq; 0 tri-state; 0 no func; 0 dont_use).  Time =     0.84 sec
Warning: Detected 2 multi-output gates (for example, "FAx1_ASAP7_75t_R").
